config,n_sensors,imu_positions,rmse_final_mean,rmse_final_std,rmse_mean_mean,rmse_mean_std,nis_mean_full,nis_mean_postburnin,nis_dof,total_runs,time_per_step_mean_ms
1-IMU [0.25],1,[0.25],0.41450353410270036,0.21064137255731338,0.4137178269097494,0.21065055570871352,2.983143677849731,2.995550603406817,3,30,10.565713666666666
1-IMU [0.50],1,[0.5],0.44547669082406693,0.21975507610838627,0.4422304070286195,0.21758650062789456,2.9741573252149793,2.9941931265182204,3,30,10.846220800000003
1-IMU [0.75],1,[0.75],0.4474456857210199,0.23205261015507003,0.4416168157307251,0.2299464155115689,2.9656016881781144,2.9938324248424286,3,30,10.388255933333332
1-IMU [1.00],1,[1.0],0.4959843944695086,0.2115460754175045,0.48644133497236525,0.20655298870667818,2.9678116653632114,2.9947731825311292,3,30,10.1983872
"2-IMU [0.25,0.50]",2,"[0.25, 0.5]",0.029099137411843813,0.01583669383000832,0.04476492247378825,0.012942516255476825,5.960827617599468,5.912271542307374,6,30,20.283016200000002
"2-IMU [0.25,0.75]",2,"[0.25, 0.75]",0.014563323066407213,0.007699909740547617,0.023719360500367003,0.007313661200490597,6.197561289666564,5.948847703410814,6,30,20.3681248
"2-IMU [0.25,1.00]",2,"[0.25, 1.0]",0.013058451097717482,0.007354210094864359,0.027265754697970053,0.011373029625979934,7.490537224918663,6.273410649043953,6,30,20.288586399999968
"2-IMU [0.50,0.75]",2,"[0.5, 0.75]",0.016426680523369992,0.008365202168036908,0.027667808239267115,0.008515951535752166,6.222774538805969,5.956262106950013,6,30,20.83337606666667
"2-IMU [0.50,1.00]",2,"[0.5, 1.0]",0.00948889523235087,0.00519615095942762,0.020074864608403718,0.0081795808139846,7.539977717585505,6.224807107646996,6,30,20.923412466666583
"2-IMU [0.75,1.00]",2,"[0.75, 1.0]",0.01794718263306309,0.009197058226328152,0.03834178276352195,0.017890765024899693,7.744415899786559,6.419761627111853,6,30,20.57563540000001
"3-IMU [0.25,0.50,0.75]",3,"[0.25, 0.5, 0.75]",0.010351700196254584,0.005044433282531602,0.019956870285224033,0.006533523113813999,9.224231753766162,8.99350729048854,9,30,30.23480800000012
"3-IMU [0.25,0.50,1.00]",3,"[0.25, 0.5, 1.0]",0.007426175164114341,0.0035470704473686966,0.016744087151367014,0.006778186404521475,10.58552719049259,9.235291558746866,9,30,30.66315853333348
"3-IMU [0.25,0.75,1.00]",3,"[0.25, 0.75, 1.0]",0.01061170671188552,0.0049431259402189535,0.023885834866817206,0.010181433250703401,10.807491340697132,9.340141240899328,9,30,31.302967733333396
"3-IMU [0.33,0.67,1.00]",3,"[0.33, 0.67, 1.0]",0.008272452056335634,0.0037741289166189993,0.018584261689431787,0.007540727844530774,10.693039318395163,9.267160591918923,9,30,31.476806733333312
"4-IMU [0.25,0.50,0.75,1.00]",4,"[0.25, 0.5, 0.75, 1.0]",0.006766673699734498,0.0036035540578471027,0.01544363144627339,0.0062191796398258815,13.70457123282372,12.253619927872194,12,30,42.559018066666646
"4-IMU [0.20,0.40,0.60,0.80]",4,"[0.2, 0.4, 0.6, 0.8]",0.008060857825402754,0.003816890506500771,0.016039758368864794,0.004680192250458861,12.375891042808831,12.017184769829871,12,30,41.978988999999956
"5-IMU [0.20,0.40,0.60,0.80,1.00]",5,"[0.2, 0.4, 0.6, 0.8, 1.0]",0.006045483704718025,0.0029115888885808687,0.014821460408294995,0.005292548212142087,16.94558368595256,15.275486948436825,15,30,52.5920536000001
