method,label,alpha,num_shapes,num_noise_realizations,num_total_runs,imu_layout,nis_dof,nis_burnin,rmse_mean_mean,rmse_mean_std,rmse_final_mean,rmse_final_std,nis_mean_full_mean,nis_mean_full_std,nis_mean_postburnin_mean,nis_mean_postburnin_std,nis_std_postburnin_mean,time_per_step_mean,time_per_step_std
quat_numeric,Quat numeric,1.0,10,3,30,"[0.25, 0.5, 1.0]",9,10,0.04057722576196695,0.025579664744078166,0.007949318401356424,0.0037418060559119668,111.74344770033768,198.95536981058547,9.800193920494877,0.7571367482335891,4.426662507070434,0.06340943339999996,0.002779595497582967
quat_analytic,Quat analytic ref,1.0,10,3,30,"[0.25, 0.5, 1.0]",9,10,0.04173309358770389,0.025765333104919526,0.008434857616535358,0.004034691740700403,111.75797888725107,198.9310640207683,9.815889048756349,0.7630850673056864,4.445939853377933,0.03826379126666673,0.0011027929466973637
so3_analytic,SO(3) analytic,1.0,10,3,30,"[0.25, 0.5, 1.0]",9,10,0.01674408715136534,0.00677818640451825,0.0074261751641133775,0.0035470704473661635,10.58552719049314,1.4466140512449521,9.235291558746717,0.6567080183532604,4.161444924580974,0.03240106146666666,0.0008592280370249561
so3_numeric,SO(3) numeric,1.0,10,3,30,"[0.25, 0.5, 1.0]",9,10,0.01552111456725498,0.006151963376112247,0.006879400863990828,0.003251059007304308,10.540398678067673,1.4421569989288106,9.21491185598034,0.6512798644697245,4.148658616159938,0.06299071099999995,0.002992213393318589
